threshold,precision,recall,f1,tp,fp,tn,fn,predicted_positive_rate,accuracy
0.36999999999999994,0.7945051506969953,0.9694865885214146,0.8733171147992002,68565,17734,9103,2158,0.8845735957359574,0.7961049610496105
0.37999999999999995,0.7962394117099507,0.967606012188397,0.8735981412805505,68432,17512,9325,2291,0.8809348093480934,0.7970172201722017
0.38999999999999996,0.7982390496012722,0.9652729663617211,0.8738455630580179,68267,17255,9582,2456,0.8766092660926609,0.7979602296022961
0.3999999999999999,0.7999435997461989,0.962628847758155,0.873778308273813,68080,17026,9811,2643,0.8723452234522345,0.7983907339073391
0.4099999999999999,0.8019320248470677,0.9601685448863877,0.87394547010637,67906,16772,10065,2817,0.8679581795817958,0.799210742107421
0.41999999999999993,0.8037945395650162,0.9578637784030655,0.8740919472006813,67743,16536,10301,2980,0.8638683886838868,0.799958999589996
0.42999999999999994,0.8057901517320355,0.9551489614411154,0.8741354210475235,67551,16281,10556,3172,0.8592865928659287,0.8006047560475604
0.43999999999999995,0.8077033733726534,0.952688658569348,0.8742255467396735,67377,16041,10796,3346,0.8550430504305043,0.8012812628126281
0.4499999999999999,0.8095450436878577,0.9497900258755991,0.8740777368605968,67172,15803,11034,3551,0.8505022550225503,0.8016195161951619
0.4599999999999999,0.8115989475343446,0.9464389236881919,0.8738478811457219,66935,15538,11299,3788,0.8453567035670356,0.8019065190651906
0.4699999999999999,0.8133704055998634,0.9430878215007847,0.873439188083156,66698,15304,11533,4025,0.8405289052890529,0.8018757687576876
0.4799999999999999,0.8153865030674846,0.9396377416116398,0.8731137870098474,66454,15046,11791,4269,0.8353833538335383,0.8020192701927019
0.48999999999999994,0.8175160848142065,0.9360462650057265,0.8727752142386289,66200,14777,12060,4523,0.8300225502255023,0.8021730217302173
0.49999999999999994,0.81986125960367,0.932483067743167,0.8725531056290975,65948,14490,12347,4775,0.8244977449774498,0.8025317753177532
0.5099999999999999,0.8218800851170359,0.9284108423002417,0.8719034877467416,65660,14230,12607,5063,0.818880688806888,0.8022447724477245
0.5199999999999999,0.8239757016648392,0.9244517342307311,0.8713267142000399,65380,13967,12870,5343,0.8133148831488315,0.802070520705207
0.5299999999999999,0.826389594553399,0.9199270392941475,0.870653257589444,65060,13668,13169,5663,0.806970069700697,0.8018552685526855
0.5399999999999999,0.8283685220729367,0.9153599253425335,0.8696943031980279,64737,13413,13424,5986,0.8010455104551045,0.8011582615826158
0.5499999999999999,0.8307335010644474,0.9103969005839685,0.8687427476590118,64386,13119,13718,6337,0.7944341943419434,0.8005740057400574
0.5599999999999999,0.8330211503941309,0.9055187138554642,0.867758348520674,64041,12837,14000,6682,0.7880073800738008,0.7999282492824928
0.57,0.8356189551318224,0.9003435940217468,0.8667746590073779,63675,12526,14311,7048,0.7810680606806069,0.7993644936449364
0.58,0.8379598972267105,0.8946311666643101,0.8653687025145491,63271,12235,14602,7452,0.7739442394423944,0.7982062320623207
0.59,0.8401229207027857,0.8890884153669952,0.8639123983293031,62879,11966,14871,7844,0.7671689216892169,0.7969454694546946
0.6,0.8423800850030359,0.8827821217991318,0.8621080103287811,62433,11682,15155,8290,0.7596863468634686,0.7952849528495285
0.61,0.8450527578591488,0.8764899679029453,0.8604843243543383,61988,11366,15471,8735,0.7518860188601886,0.7939626896268963
0.62,0.8474468847309102,0.8696746461547162,0.8584168986957523,61506,11072,15765,9217,0.7439319393193932,0.7920356703567035
0.63,0.8499651665041104,0.8625482516295971,0.8562104805148323,61002,10768,16069,9721,0.735649856498565,0.7899856498564986
0.6399999999999999,0.8525854291192061,0.8551532033426184,0.8538673857644061,60479,10457,16380,10244,0.7271012710127102,0.7878126281262813
0.6499999999999999,0.8550652313395595,0.8479561104591151,0.8514958326825598,59970,10165,16672,10753,0.718890938909389,0.7855883558835588
